strategy,a,n,profit,gas_used,detected,detection_risk,alpha,delta,gas_price,victim_balance,logfile,uuid
greedy,100,1,100,30000,False,1,1e+16,5e+17,1000.0,100000.0,greedy_a0d12ce3-451d-4994-96c4-cbaf6c03c527.json,a0d12ce3-451d-4994-96c4-cbaf6c03c527
greedy,100,1,100,30000,False,13,1.325e+17,3.775e+17,31.0,10000000.0,greedy_98aea1fa-dd3d-46b3-b24a-5ea922395982.json,98aea1fa-dd3d-46b3-b24a-5ea922395982
greedy,100,1,100,30000,False,1,0.3775,0.01,177.0,10000.0,greedy_34136b96-ec42-4032-b638-6eaca26b5f5c.json,34136b96-ec42-4032-b638-6eaca26b5f5c
optimized,100,1,200,30000,False,1,1e+16,3.775e+17,177.0,1000000.0,optimized_1991683c-1246-49b5-b258-17b6ab3a6972.json,1991683c-1246-49b5-b258-17b6ab3a6972
optimized,100,1,200,30000,False,1,1e+16,1.325e+17,177.0,10000000.0,optimized_d0f41439-9cc9-4b0c-90dc-133892ca6c52.json,d0f41439-9cc9-4b0c-90dc-133892ca6c52
greedy,100,1,100,30000,False,1,0.5,0.255,1000.0,100000.0,greedy_f692106c-8e74-4e71-a42f-7a66780ee290.json,f692106c-8e74-4e71-a42f-7a66780ee290
greedy,100,1,100,30000,False,1,,,,,greedy_e0337e4d-6bfb-4a78-a46c-1fc24912fa62.json,e0337e4d-6bfb-4a78-a46c-1fc24912fa62
greedy,100,1,100,30000,False,1,,,,,greedy_0c8ca46c-8fb6-421d-b749-692f71a46da8.json,0c8ca46c-8fb6-421d-b749-692f71a46da8
optimized,100,1,200,30000,False,1,0.1325,0.01,177.0,10000.0,optimized_a44413da-61e4-4869-978a-fc165477b7ed.json,a44413da-61e4-4869-978a-fc165477b7ed
greedy,100,1,100,30000,False,1,0.1325,0.3775,1.0,10000000.0,greedy_75b7b8f0-f70a-44c4-a5a5-99ceffcf9c44.json,75b7b8f0-f70a-44c4-a5a5-99ceffcf9c44
greedy,100,1,100,30000,False,1,,,,,greedy_9a2a3c1a-6b29-49f7-bc4b-2e3bd6c88ff5.json,9a2a3c1a-6b29-49f7-bc4b-2e3bd6c88ff5
optimized,100,1,200,30000,False,25,2.55e+17,5e+17,1000.0,10000000.0,optimized_7cdde4b3-7304-4613-a44f-c7d0c2143aba.json,7cdde4b3-7304-4613-a44f-c7d0c2143aba
uniform,20,5,80,150000,False,4,,,,,uniform_ba47eb90-a02e-4b2d-9eb1-003635615264.json,ba47eb90-a02e-4b2d-9eb1-003635615264
