strategy,a,n,profit,gas_used,detected,detection_risk,alpha,delta,gas_price,victim_balance,logfile,uuid
uniform,10000000000000000000,5,49985000000000000000,150000,False,44,109999999999999968,115789473684210528,100000000000,50000000000000000000,uniform_d88b925b-d52a-4d7c-ae73-47aee2ff2bf6.json,d88b925b-d52a-4d7c-ae73-47aee2ff2bf6
uniform,2000000000000000000,5,9985000000000000000,150000,False,37,89999999999999984,142105263157894736,100000000000,10000000000000000000,uniform_75d098b1-1228-436a-b7b1-8e5004bc10bd.json,75d098b1-1228-436a-b7b1-8e5004bc10bd
uniform,10000000000000000000,5,49992500000000000000,150000,False,9,19999999999999996,128947368421052640,50000000000,50000000000000000000,uniform_45f4c6e7-accd-4545-ac42-fbd07c6becf5.json,45f4c6e7-accd-4545-ac42-fbd07c6becf5
uniform,40000000000000000000,5,199970000000000000000,150000,False,18,39999999999999992,76315789473684208,200000000000,200000000000000000000,uniform_5a1789bb-c1cb-4136-9cf0-2f7c786293fd.json,5a1789bb-c1cb-4136-9cf0-2f7c786293fd
greedy,50000000000000000000,1,49999700000000000000,30000,False,11,119999999999999984,221052631578947328,10000000000,50000000000000000000,greedy_a8d59282-c0ef-4b99-9776-1381467d537b.json,a8d59282-c0ef-4b99-9776-1381467d537b
optimized,200000000000000000000,1,199999400000000000000,30000,False,3,39999999999999992,260526315789473664,20000000000,200000000000000000000,optimized_c1740af1-a16e-4656-8d45-af4e61f27330.json,c1740af1-a16e-4656-8d45-af4e61f27330
uniform,20000000000000000000,5,99985000000000000000,150000,False,22,49999999999999992,260526315789473664,100000000000,100000000000000000000,uniform_0f944645-2aec-4740-a7e9-df7a6fbac63d.json,0f944645-2aec-4740-a7e9-df7a6fbac63d
greedy,50000000000000000000,1,49999700000000000000,30000,False,3,39999999999999992,76315789473684208,10000000000,50000000000000000000,greedy_d3e6d8ca-12dd-45cf-8a4d-e344119c192f.json,d3e6d8ca-12dd-45cf-8a4d-e344119c192f
uniform,40000000000000000000,5,199970000000000000000,150000,False,55,150000000000000000,142105263157894736,200000000000,200000000000000000000,uniform_a2da8fe2-9145-4dcb-88ff-b192f6de1319.json,a2da8fe2-9145-4dcb-88ff-b192f6de1319
uniform,10000000000000000000,5,49970000000000000000,150000,False,14,30000000000000000,142105263157894736,200000000000,50000000000000000000,uniform_ff4c2feb-20d2-414f-a8aa-d29372c400e3.json,ff4c2feb-20d2-414f-a8aa-d29372c400e3
greedy,50000000000000000000,1,49999700000000000000,30000,False,3,39999999999999992,273684210526315744,10000000000,50000000000000000000,greedy_13e33737-7041-4e03-9784-9777fcac42e1.json,13e33737-7041-4e03-9784-9777fcac42e1
optimized,50000000000000000000,1,49999700000000000000,30000,False,4,49999999999999992,142105263157894736,10000000000,50000000000000000000,optimized_539bf0e9-8e3e-49d4-8196-f01507eb4682.json,539bf0e9-8e3e-49d4-8196-f01507eb4682
uniform,2000000000000000000,5,9970000000000000000,150000,False,34,79999999999999984,221052631578947328,200000000000,10000000000000000000,uniform_ee197b71-265d-4255-afff-50db10de0a8f.json,ee197b71-265d-4255-afff-50db10de0a8f
greedy,100000000000000000000,1,99998500000000000000,30000,False,11,119999999999999984,300000000000000000,50000000000,100000000000000000000,greedy_8d2b145f-2dfb-4b0b-ab1c-c0c6beba367f.json,8d2b145f-2dfb-4b0b-ab1c-c0c6beba367f
uniform,10000000000000000000,5,49997000000000000000,150000,False,18,39999999999999992,50000000000000000,20000000000,50000000000000000000,uniform_9bcf293c-f7ca-438e-ad6f-c78a36d6d16c.json,9bcf293c-f7ca-438e-ad6f-c78a36d6d16c
optimized,50000000000000000000,1,49998500000000000000,30000,False,4,49999999999999992,273684210526315744,50000000000,50000000000000000000,optimized_2364be8f-6524-4268-a1e6-19287d987e76.json,2364be8f-6524-4268-a1e6-19287d987e76
uniform,40000000000000000000,5,199992500000000000000,150000,False,52,139999999999999984,102631578947368416,50000000000,200000000000000000000,uniform_97fd0bfc-9fb6-400f-8340-a1d4c8d6900a.json,97fd0bfc-9fb6-400f-8340-a1d4c8d6900a
uniform,20000000000000000000,5,99992500000000000000,150000,False,22,49999999999999992,181578947368421056,50000000000,100000000000000000000,uniform_fa4bf734-8ecb-49e1-89bf-7844be9a8b7d.json,fa4bf734-8ecb-49e1-89bf-7844be9a8b7d
optimized,200000000000000000000,1,199999700000000000000,30000,False,11,119999999999999984,89473684210526320,10000000000,200000000000000000000,optimized_8e9fbc8c-b99e-46f7-bc0d-0f7fc5677186.json,8e9fbc8c-b99e-46f7-bc0d-0f7fc5677186
optimized,200000000000000000000,1,199999400000000000000,30000,False,8,89999999999999984,300000000000000000,20000000000,200000000000000000000,optimized_47369936-da2a-46c8-9c3f-62710e3de254.json,47369936-da2a-46c8-9c3f-62710e3de254
uniform,10000000000000000000,5,49997000000000000000,150000,False,37,89999999999999984,194736842105263168,20000000000,50000000000000000000,uniform_dcda6ec4-340a-4cc2-bb38-2b80a0f42c5a.json,dcda6ec4-340a-4cc2-bb38-2b80a0f42c5a
optimized,200000000000000000000,1,199997000000000000000,30000,False,10,109999999999999968,286842105263157888,100000000000,200000000000000000000,optimized_3b411ada-b97d-421c-8550-3cdd42a9d8a7.json,3b411ada-b97d-421c-8550-3cdd42a9d8a7
optimized,10000000000000000000,1,9999400000000000000,30000,False,3,30000000000000000,300000000000000000,20000000000,10000000000000000000,optimized_04f64366-1f33-4d7d-a8cd-0f545c2f7cfe.json,04f64366-1f33-4d7d-a8cd-0f545c2f7cfe
uniform,40000000000000000000,5,199997000000000000000,150000,False,34,79999999999999984,50000000000000000,20000000000,200000000000000000000,uniform_aa2e7c4a-9c88-48a7-a5fd-a2ec2484ca42.json,aa2e7c4a-9c88-48a7-a5fd-a2ec2484ca42
